기업명: 현대오토에버  종목코드: 307950    유동자산: 689504000000    유동부채: 367985000000    고정부채: 9498000000    투자자산: 3609000000    영업이익: 70178000000
기업명: 드림텍  종목코드: 192650    유동자산: 132044000000    유동부채: 105599000000    고정부채: 36553000000    투자자산: 7072000000    영업이익: 42384000000
기업명: 더블유게임즈  종목코드: 192080    유동자산: 114552000000    유동부채: 176417000000    고정부채: 302090000000    투자자산: 1205000000    영업이익: 135755000000
기업명: 우리금융지주  종목코드: 316140    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에어부산  종목코드: 298690    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 아시아나아이디티  종목코드: 267850    유동자산: 106377000000    유동부채: 50600000000    고정부채: 10058000000    투자자산: 90607000000    영업이익: 15789000000
기업명: 세아제강  종목코드: 306200    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 하나제약  종목코드: 293480    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 우진아이엔에스  종목코드: 010400    유동자산: 94792000000    유동부채: 11648000000    고정부채: 1461000000    투자자산: 8211000000    영업이익: 17980000000
기업명: 신한알파위탁관리부동산투자회사  종목코드: 293940    유동자산: 6289000000    유동부채: 60139000000    고정부채: 450199000000    투자자산: 27474000000    영업이익: 5922000000
기업명: 한일시멘트  종목코드: 300720    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 티웨이항공  종목코드: 091810    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 롯데정보통신  종목코드: 286940    유동자산: 356715000000    유동부채: 267308000000    고정부채: 33837000000    투자자산: 7634000000    영업이익: 5642000000
기업명: 효성중공업  종목코드: 298040    유동자산: 1492635000000    유동부채: 1999317000000    고정부채: 528483000000    투자자산: 155195000000    영업이익: 49996000000
기업명: 효성첨단소재  종목코드: 298050    유동자산: 1081651000000    유동부채: 1507633000000    고정부채: 598492000000    투자자산: 0    영업이익: 54911000000
기업명: 효성티앤씨  종목코드: 298020    유동자산: 1428058000000    유동부채: 1994630000000    고정부채: 657313000000    투자자산: 37953000000    영업이익: 125052000000
기업명: 효성화학  종목코드: 298000    유동자산: 447593000000    유동부채: 741787000000    고정부채: 578991000000    투자자산: 7747000000    영업이익: 24948000000
기업명: 이리츠코크렙기업구조조정부동산투자회사  종목코드: 088260    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에이치디씨현대산업개발  종목코드: 294870    유동자산: 3839525000000    유동부채: 2444817000000    고정부채: 574175000000    투자자산: 120761000000    영업이익: 317931000000
기업명: 애경산업  종목코드: 018250    유동자산: 270605000000    유동부채: 87224000000    고정부채: 13840000000    투자자산: 1229000000    영업이익: 79171000000
기업명: 셀트리온  종목코드: 068270    유동자산: 1664479000000    유동부채: 678087000000    고정부채: 229761000000    투자자산: 46992000000    영업이익: 338695000000
기업명: 쿠쿠홈시스  종목코드: 284740    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 에스케이케미칼  종목코드: 285130    유동자산: 798039000000    유동부채: 651982000000    고정부채: 711859000000    투자자산: 7613000000    영업이익: 3657000000
기업명: 비지에프리테일  종목코드: 282330    유동자산: 696072000000    유동부채: 763692000000    고정부채: 197214000000    투자자산: 29823000000    영업이익: 189517000000
기업명: 동양피스톤  종목코드: 092780    유동자산: 144119000000    유동부채: 179892000000    고정부채: 52533000000    투자자산: 1818000000    영업이익: 3351000000
기업명: 진에어  종목코드: 272450    유동자산: 426986000000    유동부채: 233662000000    고정부채: 19671000000    투자자산: 9209000000    영업이익: 62981000000
기업명: 케이씨텍  종목코드: 281820    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 동아타이어공업  종목코드: 282690    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 삼양패키징  종목코드: 272550    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 테이팩스  종목코드: 055490    유동자산: 30445000000    유동부채: 42199000000    고정부채: 24900000000    투자자산: 3000000    영업이익: 7530000000
기업명: 롯데제과  종목코드: 280360    유동자산: 732764000000    유동부채: 539542000000    고정부채: 826459000000    투자자산: 0    영업이익: 15117000000
기업명: 제일약품  종목코드: 271980    유동자산: 0    유동부채: 0    고정부채: 0    투자자산: 0    영업이익: 0
기업명: 카카오  종목코드: 035720    유동자산: 2858950000000    유동부채: 2039196000000    고정부채: 293188000000    투자자산: 790067000000    영업이익: 72949000000
