종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익
307950,현대오토에버,689504000000,367985000000,9498000000,3609000000,70178000000
192650,드림텍,132044000000,105599000000,36553000000,7072000000,42384000000
192080,더블유게임즈,114552000000,176417000000,302090000000,1205000000,135755000000
316140,우리금융지주,0,0,0,0,0
298690,에어부산,0,0,0,0,0
267850,아시아나아이디티,106377000000,50600000000,10058000000,90607000000,15789000000
306200,세아제강,0,0,0,0,0
293480,하나제약,0,0,0,0,0
010400,우진아이엔에스,94792000000,11648000000,1461000000,8211000000,17980000000
293940,신한알파위탁관리부동산투자회사,6289000000,60139000000,450199000000,27474000000,5922000000
300720,한일시멘트,0,0,0,0,0
091810,티웨이항공,0,0,0,0,0
286940,롯데정보통신,356715000000,267308000000,33837000000,7634000000,5642000000
298040,효성중공업,1492635000000,1999317000000,528483000000,155195000000,49996000000
298050,효성첨단소재,1081651000000,1507633000000,598492000000,0,54911000000
298020,효성티앤씨,1428058000000,1994630000000,657313000000,37953000000,125052000000
298000,효성화학,447593000000,741787000000,578991000000,7747000000,24948000000
088260,이리츠코크렙기업구조조정부동산투자회사,0,0,0,0,0
294870,에이치디씨현대산업개발,3839525000000,2444817000000,574175000000,120761000000,317931000000
018250,애경산업,270605000000,87224000000,13840000000,1229000000,79171000000
068270,셀트리온,1664479000000,678087000000,229761000000,46992000000,338695000000
284740,쿠쿠홈시스,0,0,0,0,0
285130,에스케이케미칼,798039000000,651982000000,711859000000,7613000000,3657000000
282330,비지에프리테일,696072000000,763692000000,197214000000,29823000000,189517000000
092780,동양피스톤,144119000000,179892000000,52533000000,1818000000,3351000000
272450,진에어,426986000000,233662000000,19671000000,9209000000,62981000000
281820,케이씨텍,0,0,0,0,0
282690,동아타이어공업,0,0,0,0,0
272550,삼양패키징,0,0,0,0,0
055490,테이팩스,30445000000,42199000000,24900000000,3000000,7530000000
280360,롯데제과,732764000000,539542000000,826459000000,0,15117000000
271980,제일약품,0,0,0,0,0
035720,카카오,2858950000000,2039196000000,293188000000,790067000000,72949000000
271560,오리온,525274000000,428945000000,433570000000,30358000000,77302000000
268280,미원스페셜티케미칼,0,0,0,0,0
267290,경동도시가스,408638000000,332856000000,79693000000,240000000,13969000000
251270,넷마블,2590626000000,587005000000,294505000000,1256223000000,241651000000
079440,오렌지라이프생명보험,0,0,0,0,0
267270,현대건설기계,2203851000000,945143000000,613205000000,2000000,208732000000
267260,현대일렉트릭앤에너지시스템,1651652000000,1123316000000,351441000000,3098000000,-100581000000
267250,현대중공업지주,8884244000000,8660183000000,4133477000000,4081881000000,861427000000
264900,크라운제과,0,0,0,0,0
145720,덴티움,169894000000,140383000000,101710000000,6000000,41960000000
111110,호전실업,191199000000,143999000000,17030000000,1830000000,10755000000
143210,핸즈코퍼레이션,302451000000,323198000000,61454000000,3381000000,10502000000
241560,두산밥캣,1683673000000,963457000000,1743264000000,16626000000,459050000000
207940,삼성바이오로직스,0,0,0,0,0
234080,제이더블유생명과학,68064000000,84707000000,18157000000,501000000,7919000000
241590,화승엔터프라이즈,359304000000,407965000000,69366000000,4327000000,40300000000
229640,LS전선아시아,240221000000,189517000000,16484000000,294000000,17966000000
204210,모두투어자기관리부동산투자회사,0,0,0,0,0
249420,일동제약,210456000000,162897000000,124947000000,9971000000,28343000000
248170,샘표식품,0,0,0,0,0
016740,두올,181999000000,132241000000,50432000000,243000000,30656000000
026960,동서,730119000000,80667000000,81746000000,582153000000,11674000000
123890,한국자산신탁,0,0,0,0,0
034830,한국토지신탁,0,0,0,0,0
195870,해성디에스,112943000000,66542000000,46749000000,5966000000,449000000
070960,용평리조트,103997000000,187144000000,211461000000,1202000000,24563000000
101530,해태제과식품,179054000000,289900000000,249014000000,25801000000,1777000000
004440,대림씨엔에스,0,0,0,0,0
194370,제이에스코퍼레이션,124297000000,32867000000,1345000000,2330000000,4477000000
152330,코리아오토글라스,0,0,0,0,0
226320,잇츠한불,390708000000,51933000000,8902000000,2358000000,19913000000
075580,세진중공업,122843000000,226903000000,22674000000,1021000000,3024000000
214330,금호에이치티,155547000000,66660000000,46868000000,3333000000,10493000000
089590,제주항공,521862000000,505484000000,555611000000,2407000000,56970000000
227840,현대코퍼레이션홀딩스,97626000000,20357000000,170000000,63069000000,7896000000
079550,엘아이지넥스원,0,0,0,0,0
039570,에이치디씨아이콘트롤스,151668000000,71832000000,10583000000,128134000000,14679000000
002690,동일제강,0,0,0,0,0
095570,AJ네트웍스,1501059000000,1592613000000,474261000000,47272000000,-21282000000
214320,이노션,1575743000000,934039000000,65058000000,15216000000,118186000000
