종목코드,회사명,기업가치
307950,현대오토에버,1142281750000.0
006370,대구백화점,-492443160000.0
221840,하이즈항공,9818720000.0
052460,아이크래프트,26165170000.0
192650,드림텍,530047490000.0
006980,우성사료,-22747410000.0
197210,리드,-44797050000.0
072870,메가스터디,224005630000.0
192080,더블유게임즈,1391630570000.0
180400,캔서롭,-48242720000.0
002920,유성기업,206533130000.0
046440,케이지모빌리언스,323031390000.0
267850,아시아나아이디티,331645700000.0
002220,한일철강,-121559210000.0
078600,대주전자재료,3051950000.0
127160,매직마이크로,-40811820000.0
002450,삼익악기,39649180000.0
293480,하나제약,0.0
054450,텔레칩스,150557320000.0
221980,케이디켐,154475890000.0
010400,우진아이엔에스,325650080000.0
002460,화성산업,0.0
078150,에이치비테크놀러지,184190940000.0
293940,신한알파위탁관리부동산투자회사,0.0
227950,마이크로텍,-14414290000.0
007340,디티알오토모티브,1114736710000.0
214370,케어젠,684030760000.0
000890,보해양조,-213646040000.0
051360,토비스,423373220000.0
190510,나무가,-11985710000.0
003010,혜인,46538860000.0
286940,롯데정보통신,501995990000.0
072520,제넨바이오,-53264170000.0
056090,유앤아이,-67596520000.0
014280,금강공업,108853180000.0
298040,효성중공업,-794825130000.0
078130,국일제지,0.0
226340,본느,58797580000.0
009810,엔케이물산,25047200000.0
068790,디엠에스,361796660000.0
115960,연우,69771270000.0
298050,효성첨단소재,-611533740000.0
008730,율촌화학,109277470000.0
182400,에이티젠,-168025750000.0
078940,코드네이처,-46901680000.0
298020,효성티앤씨,-101183100000.0
009270,신원,10468100000.0
092870,엑시콘,88720690000.0
048870,시너지이노베이션,73675950000.0
298000,효성화학,-172838410000.0
004140,동방,-141497540000.0
226360,이엑스티,76398780000.0
065350,신성델타테크,69118190000.0
294870,에이치디씨현대산업개발,4460779370000.0
003000,부광약품,711893470000.0
018250,애경산업,1198449340000.0
214870,에치디프로,-56995630000.0
039340,한국경제티브이,252915340000.0
068270,셀트리온,5111621270000.0
064260,다날,178047580000.0
005810,풍산홀딩스,981198280000.0
284740,쿠쿠홈시스,803958700000.0
011080,형지아이앤씨,0.0
285130,에스케이케미칼,-64986960000.0
050090,휘닉스소재,-32853170000.0
282330,비지에프리테일,2064094420000.0
029960,코엔텍,451515200000.0
012200,계양전기,169069450000.0
219130,타이거일렉,0.0
092780,동양피스톤,99725460000.0
057030,와이비엠넷,5520080000.0
175140,인포마크,-10191240000.0
004710,한솔테크닉스,40112940000.0
065770,씨에스,44966070000.0
272450,진에어,952747320000.0
005190,동성화학,112224700000.0
074430,아미노로직스,88063090000.0
222080,씨아이에스,-183228080000.0
077280,한컴지엠디,26845440000.0
220630,해마로푸드서비스,304470230000.0
008930,한미사이언스,862516120000.0
066700,테라젠이텍스,-36718790000.0
224110,에이텍티앤,145638150000.0
055490,테이팩스,51260290000.0
005500,삼진제약,0.0
196700,웹스,-3678010000.0
280360,롯데제과,199818600000.0
005490,포스코,75684753350000.0
078350,한양디지텍,30600860000.0
