회사명,기업가치,시가총액
삼성전자,861887034800000,254014200000000
에스케이하이닉스,281418799920000,47975400000000
현대자동차,3568970440000,29165700000000
셀트리온,5111621270000,23869200000000
LG화학,28653712140000,23013100000000
현대모비스,45902794060000,20681600000000
SK텔레콤,15429898470000,20469000000000
포스코,75684753350000,20445300000000
LG생활건강,13499788930000,19663300000000
삼성바이오로직스,0,19452500000000
네이버,15476907020000,17882300000000
삼성물산,26476790010000,17755000000000
SK,43963581820000,16816100000000
기아자동차,19958103190000,16579400000000
한국전력공사,-96152284870000,16113300000000
삼성SDS,15299193960000,15785100000000
SK이노베이션,28802487330000,14887000000000
삼성SDI,14660010920000,14337400000000
케이티앤지,21161256780000,13646900000000
LG전자,27987119890000,12682700000000
LG,39774212910000,12458600000000
아모레퍼시픽,6858443820000,10610200000000
엔씨소프트,10006869240000,10410100000000
카카오,1695487860000,10258400000000
넷마블,6009065850000,9613400000000
S-Oil,3273926370000,9153000000000
롯데케미칼,28691134900000,8843100000000
고려아연,13460204100000,8217900000000
셀트리온헬스케어,806835850000,8183200000000
현대중공업,-8451690370000,8068100000000
케이티,9360222440000,7324200000000
삼성전기,12850420540000,7237800000000
강원랜드,7597901880000,6685600000000
한온시스템,4963995320000,6325500000000
LG디스플레이,-11011623770000,6047100000000
LG유플러스,5844970070000,6025200000000
현대글로비스,9325856180000,5925000000000
웅진코웨이,6118170200000,5867100000000
현대건설,13191450950000,5645700000000
현대제철,5505540800000,5491300000000
아모레퍼시픽그룹,8439228180000,5376300000000
현대중공업지주,9117991030000,5122100000000
휠라코리아,4157719960000,4932000000000
삼성중공업,-7358351110000,4788000000000
한미약품,700815030000,4679700000000
GS,26008801060000,4641100000000
한국타이어,10538997440000,4527600000000
롯데쇼핑,-1059799270000,4526200000000
한미사이언스,862516120000,4473700000000
롯데지주,329805750000,4458600000000
